state_abbr,state_name,individual_premium_avg,small_group_premium_avg,difference_avg,county_count,year,age,metal_tier
NC,North Carolina,859.38,836.43,22.95,100,2026,50,Silver
ND,North Dakota,346.38,347.79,-1.41,53,2026,27,Bronze
ND,North Dakota,475.85,467.6,8.24,53,2026,27,Gold
ND,North Dakota,395.87,371.04,24.83,53,2026,27,Silver
ND,North Dakota,590.3,592.7,-2.4,53,2026,50,Bronze
ND,North Dakota,810.94,796.89,14.05,53,2026,50,Gold
ND,North Dakota,674.64,632.33,42.32,53,2026,50,Silver
NE,Nebraska,483.51,448.32,35.19,93,2026,27,Bronze
NE,Nebraska,623.44,566.74,56.7,93,2026,27,Gold
NE,Nebraska,492.79,505.26,-12.48,93,2026,27,Silver
NE,Nebraska,824.0,764.03,59.96,93,2026,50,Bronze
NE,Nebraska,1062.46,965.84,96.62,93,2026,50,Gold
NE,Nebraska,839.8,861.07,-21.26,93,2026,50,Silver
NH,New Hampshire,262.61,359.96,-97.35,10,2026,27,Bronze
NH,New Hampshire,371.58,442.09,-70.51,10,2026,27,Gold
NH,New Hampshire,312.03,375.99,-63.95,10,2026,27,Silver
NH,New Hampshire,447.54,613.44,-165.9,10,2026,50,Bronze
NH,New Hampshire,633.25,753.41,-120.16,10,2026,50,Gold
NH,New Hampshire,531.77,640.76,-108.99,10,2026,50,Silver
NJ,New Jersey,374.98,310.79,64.18,21,2026,27,Bronze
NJ,New Jersey,584.61,700.29,-115.68,21,2026,27,Gold
NJ,New Jersey,402.55,482.38,-79.83,21,2026,27,Silver
NJ,New Jersey,639.03,432.88,206.15,21,2026,50,Bronze
NJ,New Jersey,996.3,975.37,20.93,21,2026,50,Gold
NJ,New Jersey,686.02,671.86,14.16,21,2026,50,Silver
NM,New Mexico,431.79,446.09,-14.3,33,2026,27,Bronze
NM,New Mexico,450.21,551.8,-101.59,33,2026,27,Gold
NM,New Mexico,481.82,473.6,8.22,33,2026,27,Silver
NM,New Mexico,735.86,760.23,-24.37,33,2026,50,Bronze
NM,New Mexico,767.24,940.38,-173.14,33,2026,50,Gold
NM,New Mexico,821.13,807.11,14.02,33,2026,50,Silver
NV,Nevada,461.74,344.48,117.26,17,2026,27,Bronze
NV,Nevada,734.72,496.93,237.78,17,2026,27,Gold
NV,Nevada,580.43,398.56,181.87,17,2026,27,Silver
NV,Nevada,786.91,587.07,199.84,17,2026,50,Bronze
NV,Nevada,1273.06,846.88,426.18,17,2026,50,Gold
NV,Nevada,989.17,679.23,309.94,17,2026,50,Silver
NY,New York,555.3,729.12,-173.82,62,2026,27,Bronze
NY,New York,953.97,811.73,142.24,62,2026,27,Gold
NY,New York,736.31,856.7,-120.4,62,2026,27,Silver
NY,New York,555.3,729.12,-173.82,62,2026,50,Bronze
NY,New York,953.97,811.73,142.24,62,2026,50,Gold
NY,New York,736.31,856.7,-120.4,62,2026,50,Silver
OH,Ohio,338.56,740.54,-401.98,88,2026,27,Bronze
OH,Ohio,453.36,895.23,-441.87,88,2026,27,Gold
OH,Ohio,361.16,810.88,-449.71,88,2026,27,Silver
OH,Ohio,576.98,1262.02,-685.04,88,2026,50,Bronze
OH,Ohio,772.62,1525.66,-753.04,88,2026,50,Gold
OH,Ohio,615.5,1381.89,-766.4,88,2026,50,Silver
OK,Oklahoma,392.63,286.22,106.41,77,2026,27,Bronze
OK,Oklahoma,530.61,391.01,139.6,77,2026,27,Gold
OK,Oklahoma,446.45,332.95,113.5,77,2026,27,Silver
OK,Oklahoma,669.12,487.78,181.34,77,2026,50,Bronze
OK,Oklahoma,904.27,666.36,237.91,77,2026,50,Gold
OK,Oklahoma,760.85,567.41,193.44,77,2026,50,Silver
OR,Oregon,399.97,349.89,50.08,36,2026,27,Bronze
OR,Oregon,526.31,457.17,69.14,36,2026,27,Gold
OR,Oregon,445.5,399.44,46.06,36,2026,27,Silver
OR,Oregon,681.34,595.89,85.45,36,2026,50,Bronze
OR,Oregon,897.56,779.36,118.19,36,2026,50,Gold
OR,Oregon,758.86,680.36,78.5,36,2026,50,Silver
PA,Pennsylvania,331.89,342.41,-10.52,67,2026,27,Bronze
PA,Pennsylvania,436.46,475.99,-39.53,67,2026,27,Gold
PA,Pennsylvania,393.99,402.86,-8.87,67,2026,27,Silver
PA,Pennsylvania,565.6,583.54,-17.93,67,2026,50,Bronze
PA,Pennsylvania,743.82,811.18,-67.36,67,2026,50,Gold
PA,Pennsylvania,671.44,686.55,-15.11,67,2026,50,Silver
RI,Rhode Island,299.51,326.04,-26.53,5,2026,27,Bronze
RI,Rhode Island,410.51,407.91,2.6,5,2026,27,Gold
RI,Rhode Island,339.25,372.94,-33.69,5,2026,27,Silver
RI,Rhode Island,510.42,555.63,-45.21,5,2026,50,Bronze
RI,Rhode Island,699.59,695.16,4.43,5,2026,50,Gold
RI,Rhode Island,578.15,635.56,-57.41,5,2026,50,Silver
SC,South Carolina,336.32,468.24,-131.92,46,2026,27,Bronze
SC,South Carolina,458.48,594.05,-135.57,46,2026,27,Gold
SC,South Carolina,366.64,513.62,-146.98,46,2026,27,Silver
SC,South Carolina,573.16,797.97,-224.81,46,2026,50,Bronze
SC,South Carolina,781.33,1012.38,-231.05,46,2026,50,Gold
SC,South Carolina,624.83,875.31,-250.48,46,2026,50,Silver
SD,South Dakota,416.47,332.21,84.26,66,2026,27,Bronze
SD,South Dakota,574.1,453.67,120.42,66,2026,27,Gold
SD,South Dakota,491.26,366.46,124.79,66,2026,27,Silver
SD,South Dakota,709.75,566.15,143.6,66,2026,50,Bronze
SD,South Dakota,978.38,773.15,205.23,66,2026,50,Gold
SD,South Dakota,837.2,624.53,212.67,66,2026,50,Silver
TN,Tennessee,415.94,307.15,108.78,95,2026,27,Bronze
TN,Tennessee,574.0,402.05,171.95,95,2026,27,Gold
TN,Tennessee,459.11,356.51,102.6,95,2026,27,Silver
TN,Tennessee,708.84,523.46,185.39,95,2026,50,Bronze
TN,Tennessee,978.22,685.18,293.04,95,2026,50,Gold
TN,Tennessee,782.42,607.57,174.85,95,2026,50,Silver
TX,Texas,384.25,323.85,60.4,254,2026,27,Bronze
TX,Texas,523.24,434.59,88.65,254,2026,27,Gold
TX,Texas,462.5,369.62,92.87,254,2026,27,Silver
TX,Texas,654.84,551.9,102.94,254,2026,50,Bronze
TX,Texas,891.7,740.63,151.07,254,2026,50,Gold
TX,Texas,788.19,629.91,158.28,254,2026,50,Silver
UT,Utah,563.83,445.47,118.36,29,2026,27,Bronze
UT,Utah,797.47,608.99,188.48,29,2026,27,Gold
UT,Utah,613.31,510.52,102.79,29,2026,27,Silver
UT,Utah,862.78,681.67,181.1,29,2026,50,Bronze
UT,Utah,1220.3,932.06,288.24,29,2026,50,Gold
UT,Utah,938.5,781.26,157.24,29,2026,50,Silver
VA,Virginia,299.67,375.85,-76.18,133,2026,27,Bronze
VA,Virginia,374.9,463.54,-88.64,133,2026,27,Gold
VA,Virginia,328.89,407.65,-78.76,133,2026,27,Silver
VA,Virginia,510.7,640.53,-129.83,133,2026,50,Bronze
VA,Virginia,638.9,789.96,-151.06,133,2026,50,Gold
VA,Virginia,560.5,694.72,-134.22,133,2026,50,Silver
VT,Vermont,824.14,735.45,88.69,14,2026,27,Bronze
VT,Vermont,1135.39,1011.8,123.59,14,2026,27,Gold
VT,Vermont,928.05,827.71,100.34,14,2026,27,Silver
VT,Vermont,824.14,735.45,88.69,14,2026,50,Bronze
VT,Vermont,1135.39,1011.8,123.59,14,2026,50,Gold
VT,Vermont,928.05,827.71,100.34,14,2026,50,Silver
WA,Washington,302.77,382.88,-79.79,39,2026,27,Bronze
WA,Washington,387.15,493.63,-106.47,39,2026,27,Gold
WA,Washington,448.62,425.52,23.1,39,2026,27,Silver
WA,Washington,515.98,652.5,-135.97,39,2026,50,Bronze
WA,Washington,659.79,841.24,-181.45,39,2026,50,Gold
WA,Washington,764.54,725.17,39.37,39,2026,50,Silver
WI,Wisconsin,374.89,413.54,-38.65,72,2026,27,Bronze
WI,Wisconsin,540.11,526.67,13.45,72,2026,27,Gold
WI,Wisconsin,471.17,452.06,19.11,72,2026,27,Silver
WI,Wisconsin,638.89,704.76,-65.87,72,2026,50,Bronze
WI,Wisconsin,920.46,897.54,22.91,72,2026,50,Gold
WI,Wisconsin,802.97,770.4,32.57,72,2026,50,Silver
WV,West Virginia,515.91,575.66,-59.75,55,2026,27,Bronze
WV,West Virginia,787.86,731.11,56.75,55,2026,27,Gold
WV,West Virginia,754.0,636.83,117.17,55,2026,27,Silver
WV,West Virginia,879.22,981.05,-101.83,55,2026,50,Bronze
WV,West Virginia,1342.67,1245.95,96.71,55,2026,50,Gold
WV,West Virginia,1284.97,1085.28,199.69,55,2026,50,Silver
WY,Wyoming,649.05,532.08,116.97,23,2026,27,Bronze
WY,Wyoming,827.13,654.55,172.58,23,2026,27,Gold
WY,Wyoming,774.85,599.67,175.18,23,2026,27,Silver
WY,Wyoming,1106.11,906.76,199.35,23,2026,50,Bronze
WY,Wyoming,1409.61,1115.48,294.13,23,2026,50,Gold
WY,Wyoming,1320.48,1021.95,298.53,23,2026,50,Silver
